Store_ID,Store_Name,City,Region,Store_Type,Opening_Date,Manager_Name,Monthly_Rent,Employees,Floor_Area_sqft
1,CHA-001,Chandigarh,North,Mall,2023-04-26,Manager_001,192097,43,4857
2,BEN-002,Bengaluru,South,Neighborhood,2022-08-03,Manager_002,320000,66,1720
3,DEL-003,Delhi,North,Flagship,2017-08-10,Manager_003,350000,15,10395
4,HYD-004,Hyderabad,South,Neighborhood,2022-11-12,Manager_004,229974,40,8559
5,IND-005,Indore,Central,Mall,2024-09-30,Manager_005,121703,32,8124
6,PUN-006,Pune,West,Mall,2017-05-31,Manager_006,208236,25,2719
7,AHM-007,Ahmedabad,West,Flagship,2024-07-03,Manager_007,210165,45,1911
8,KOC-008,Kochi,South,High Street,2016-05-26,Manager_008,219230,22,10244
9,CHE-009,Chennai,South,Neighborhood,2021-12-08,Manager_009,214800,85,4350
10,KOC-010,Kochi,South,Flagship,2022-06-01,Manager_010,179742,49,2507
11,SUR-011,Surat,West,Mall,2016-02-18,Manager_011,219647,47,8628
12,CHA-012,Chandigarh,North,Neighborhood,2016-10-28,Manager_012,217040,57,4632
13,CHA-013,Chandigarh,North,Mall,2022-08-31,Manager_013,138717,33,9951
14,KOC-014,Kochi,South,Mall,2020-03-08,Manager_014,219471,46,11685
15,KOC-015,Kochi,South,Neighborhood,2022-09-05,Manager_015,205008,19,4952
16,SUR-016,Surat,West,Flagship,2018-07-16,Manager_016,225162,46,2284
17,HYD-017,Hyderabad,South,Outlet,2021-05-12,Manager_017,202490,39,11938
18,JAI-018,Jaipur,North,High Street,2022-03-18,Manager_018,240285,30,5539
19,BEN-019,Bengaluru,South,Mall,2021-04-18,Manager_019,320000,66,10760
20,AHM-020,Ahmedabad,West,High Street,2016-07-20,Manager_020,253569,75,2689
21,BHU-021,Bhubaneswar,East,Flagship,2016-03-25,Manager_021,160066,32,8116
22,IND-022,Indore,Central,Flagship,2019-04-13,Manager_022,242696,79,5319
23,LUC-023,Lucknow,North,Outlet,2015-02-17,Manager_023,150029,80,5571
24,BHU-024,Bhubaneswar,East,Neighborhood,2016-04-01,Manager_024,196939,67,3791
25,JAI-025,Jaipur,North,Flagship,2023-02-05,Manager_025,189045,76,4127
26,LUC-026,Lucknow,North,Outlet,2024-10-05,Manager_026,198235,76,11177
27,HYD-027,Hyderabad,South,Mall,2023-07-21,Manager_027,162349,81,9889
28,NAG-028,Nagpur,Central,Flagship,2018-08-20,Manager_028,248085,14,3032
29,NAG-029,Nagpur,Central,High Street,2024-04-29,Manager_029,200612,42,2149
30,HYD-030,Hyderabad,South,Outlet,2015-11-19,Manager_030,142453,74,2333
31,BHU-031,Bhubaneswar,East,High Street,2016-05-30,Manager_031,153657,72,10207
32,BEN-032,Bengaluru,South,Mall,2024-10-13,Manager_032,320000,39,10035
33,BHU-033,Bhubaneswar,East,Neighborhood,2017-04-03,Manager_033,201714,63,11847
34,PUN-034,Pune,West,High Street,2020-10-20,Manager_034,238354,27,5261
35,HYD-035,Hyderabad,South,Flagship,2015-03-28,Manager_035,180323,40,1317
36,MUM-036,Mumbai,West,Neighborhood,2015-08-30,Manager_036,400000,20,1714
37,SUR-037,Surat,West,High Street,2020-10-06,Manager_037,182391,47,9153
38,HYD-038,Hyderabad,South,High Street,2023-02-10,Manager_038,243907,43,8949
39,BHU-039,Bhubaneswar,East,High Street,2016-01-22,Manager_039,145409,67,7004
40,AHM-040,Ahmedabad,West,High Street,2024-09-08,Manager_040,134200,24,2193
41,AHM-041,Ahmedabad,West,Neighborhood,2023-12-24,Manager_041,148644,43,4339
42,HYD-042,Hyderabad,South,High Street,2016-07-28,Manager_042,230593,35,5763
43,JAI-043,Jaipur,North,Mall,2015-11-05,Manager_043,236164,82,2804
44,DEL-044,Delhi,North,Neighborhood,2021-01-23,Manager_044,350000,23,5072
45,BEN-045,Bengaluru,South,High Street,2020-05-25,Manager_045,320000,63,2160
46,BEN-046,Bengaluru,South,High Street,2019-05-19,Manager_046,320000,70,5873
47,AHM-047,Ahmedabad,West,Neighborhood,2023-03-12,Manager_047,247577,31,4311
48,CHE-048,Chennai,South,Mall,2015-08-28,Manager_048,135979,52,2136
49,DEL-049,Delhi,North,Neighborhood,2020-08-21,Manager_049,350000,32,2131
50,LUC-050,Lucknow,North,Flagship,2017-01-31,Manager_050,137962,20,5053
51,AHM-051,Ahmedabad,West,Mall,2024-12-25,Manager_051,184543,17,11347
52,MUM-052,Mumbai,West,High Street,2021-07-18,Manager_052,400000,52,5472
53,HYD-053,Hyderabad,South,Neighborhood,2018-07-10,Manager_053,182570,45,7684
54,BEN-054,Bengaluru,South,Neighborhood,2018-05-13,Manager_054,320000,52,2388
55,DEL-055,Delhi,North,High Street,2021-04-25,Manager_055,350000,21,10008
56,HYD-056,Hyderabad,South,High Street,2016-06-26,Manager_056,211490,20,5202
57,PUN-057,Pune,West,Mall,2019-11-30,Manager_057,199303,79,1328
58,CHA-058,Chandigarh,North,Neighborhood,2018-05-11,Manager_058,147154,29,5533
