Customer_ID,Gender,Age_Group,Customer_Segment,Loyalty_Member,City
1,Male,26-35,Regular,Yes,Hyderabad
2,Male,36-45,Business,No,Surat
3,Male,46-60,Regular,No,Bengaluru
4,Female,36-45,Regular,Yes,Lucknow
5,Female,26-35,Regular,No,Nagpur
6,Female,26-35,Premium,No,Pune
7,Female,36-45,Regular,No,Bhubaneswar
8,Male,26-35,Business,No,Kochi
9,Male,26-35,Regular,Yes,Chennai
10,Male,36-45,Regular,Yes,Nagpur
11,Male,26-35,Budget,No,Bhubaneswar
12,Female,18-25,Regular,Yes,Hyderabad
13,Female,36-45,Regular,Yes,Ahmedabad
14,Male,26-35,Budget,No,Indore
15,Female,26-35,Regular,Yes,Bhubaneswar
16,Female,36-45,Regular,No,Chennai
17,Male,26-35,Premium,Yes,Surat
18,Female,46-60,Business,Yes,Kochi
19,Male,18-25,Regular,No,Bhubaneswar
20,Male,26-35,Budget,Yes,Chandigarh
21,Male,26-35,Regular,Yes,Indore
22,Female,36-45,Budget,Yes,Indore
23,Male,46-60,Budget,No,Lucknow
24,Male,26-35,Budget,No,Surat
25,Male,18-25,Business,No,Chandigarh
26,Male,36-45,Regular,No,Indore
27,Male,18-25,Budget,Yes,Pune
28,Female,26-35,Premium,Yes,Chennai
29,Male,46-60,Regular,No,Hyderabad
30,Female,26-35,Budget,No,Lucknow
31,Male,26-35,Budget,No,Surat
32,Female,26-35,Regular,Yes,Ahmedabad
33,Male,46-60,Budget,Yes,Lucknow
34,Female,36-45,Premium,No,Chennai
35,Female,60+,Regular,No,Ahmedabad
36,Male,26-35,Regular,No,Jaipur
37,Male,36-45,Budget,No,Chennai
38,Female,26-35,Premium,Yes,Hyderabad
39,Female,18-25,Regular,Yes,Delhi
40,Male,26-35,Regular,Yes,Chandigarh
41,Male,46-60,Budget,No,Pune
42,Male,26-35,Business,Yes,Chandigarh
43,Male,46-60,Premium,Yes,Hyderabad
44,Male,18-25,Regular,Yes,Surat
45,Male,36-45,Regular,No,Mumbai
46,Female,36-45,Business,No,Lucknow
47,Female,26-35,Premium,No,Jaipur
48,Male,36-45,Business,Yes,Bhubaneswar
49,Female,46-60,Budget,No,Bengaluru
50,Male,26-35,Regular,Yes,Delhi
51,Male,18-25,Regular,No,Mumbai
52,Female,36-45,Regular,Yes,Hyderabad
53,Female,26-35,Budget,Yes,Chennai
54,Female,26-35,Budget,Yes,Indore
55,Female,26-35,Premium,Yes,Kochi
56,Male,46-60,Regular,No,Bengaluru
57,Female,46-60,Budget,Yes,Kochi
58,Male,26-35,Budget,No,Hyderabad
59,Female,46-60,Budget,No,Delhi
60,Male,26-35,Budget,No,Chennai
61,Female,26-35,Budget,Yes,Kochi
62,Female,26-35,Budget,No,Chandigarh
63,Female,18-25,Regular,No,Lucknow
64,Male,36-45,Regular,No,Mumbai
65,Female,26-35,Regular,Yes,Chandigarh
66,Female,46-60,Regular,No,Chandigarh
67,Male,46-60,Regular,No,Ahmedabad
68,Female,46-60,Premium,Yes,Chandigarh
69,Female,26-35,Budget,Yes,Mumbai
70,Female,26-35,Regular,No,Chennai
71,Female,26-35,Premium,No,Jaipur
72,Male,36-45,Premium,Yes,Bengaluru
73,Male,26-35,Regular,Yes,Kochi
74,Male,18-25,Budget,No,Mumbai
75,Male,26-35,Regular,No,Ahmedabad
76,Female,26-35,Budget,No,Bengaluru
77,Male,18-25,Regular,Yes,Hyderabad
78,Female,46-60,Budget,Yes,Surat
79,Female,26-35,Premium,No,Pune
80,Male,36-45,Business,No,Bengaluru
81,Female,26-35,Regular,No,Jaipur
82,Female,26-35,Regular,No,Chandigarh
83,Female,26-35,Budget,Yes,Bhubaneswar
84,Male,26-35,Budget,No,Chennai
85,Female,46-60,Regular,No,Jaipur
86,Female,36-45,Budget,No,Jaipur
87,Female,46-60,Budget,Yes,Bhubaneswar
88,Female,46-60,Regular,Yes,Ahmedabad
89,Male,26-35,Budget,Yes,Hyderabad
90,Female,26-35,Business,No,Bhubaneswar
91,Male,46-60,Regular,Yes,Kochi
92,Female,36-45,Budget,Yes,Bengaluru
93,Female,18-25,Regular,No,Chennai
94,Male,26-35,Business,Yes,Delhi
95,Male,18-25,Regular,No,Bengaluru
96,Female,46-60,Regular,Yes,Delhi
97,Male,26-35,Business,No,Jaipur
98,Female,46-60,Premium,Yes,Surat
99,Female,46-60,Regular,Yes,Mumbai
100,Male,26-35,Budget,No,Surat
101,Male,26-35,Budget,No,Jaipur
102,Male,26-35,Budget,No,Bhubaneswar
103,Male,36-45,Business,No,Chandigarh
104,Male,26-35,Regular,No,Delhi
105,Male,46-60,Budget,Yes,Chandigarh
106,Female,26-35,Business,Yes,Hyderabad
107,Female,46-60,Premium,No,Bengaluru
108,Female,36-45,Business,No,Delhi
109,Male,26-35,Regular,Yes,Bengaluru
110,Male,18-25,Regular,No,Chandigarh
111,Male,18-25,Budget,No,Chandigarh
112,Female,46-60,Budget,No,Hyderabad
113,Female,26-35,Regular,Yes,Jaipur
114,Female,36-45,Budget,Yes,Bengaluru
115,Male,26-35,Regular,Yes,Lucknow
116,Male,18-25,Regular,Yes,Pune
117,Female,26-35,Regular,No,Bengaluru
118,Male,46-60,Regular,Yes,Bhubaneswar
119,Male,26-35,Premium,No,Indore
120,Female,18-25,Regular,No,Mumbai
121,Female,26-35,Regular,No,Chandigarh
122,Male,18-25,Budget,Yes,Chandigarh
123,Male,26-35,Budget,Yes,Bengaluru
124,Female,36-45,Budget,No,Mumbai
125,Male,26-35,Regular,No,Lucknow
126,Male,36-45,Regular,Yes,Indore
127,Male,26-35,Premium,Yes,Nagpur
128,Female,46-60,Business,Yes,Kochi
129,Male,36-45,Premium,Yes,Delhi
130,Male,18-25,Budget,No,Surat
131,Male,36-45,Regular,Yes,Hyderabad
132,Male,36-45,Regular,No,Bengaluru
133,Female,46-60,Regular,No,Indore
134,Female,36-45,Premium,No,Bengaluru
135,Female,46-60,Business,Yes,Lucknow
136,Female,26-35,Business,Yes,Lucknow
137,Male,36-45,Regular,No,Chandigarh
138,Female,26-35,Regular,No,Hyderabad
139,Male,60+,Regular,Yes,Jaipur
140,Female,18-25,Budget,Yes,Indore
141,Female,46-60,Budget,Yes,Hyderabad
142,Male,18-25,Regular,No,Lucknow
143,Female,46-60,Regular,Yes,Jaipur
144,Male,36-45,Budget,No,Hyderabad
145,Female,46-60,Business,No,Indore
146,Male,36-45,Regular,No,Bengaluru
147,Female,18-25,Budget,No,Chennai
148,Female,26-35,Business,Yes,Delhi
149,Male,36-45,Budget,No,Surat
150,Male,26-35,Regular,Yes,Chandigarh
151,Male,18-25,Budget,No,Indore
152,Female,36-45,Regular,Yes,Chandigarh
153,Female,46-60,Regular,Yes,Indore
154,Male,26-35,Budget,Yes,Bengaluru
155,Male,36-45,Budget,No,Chennai
156,Male,36-45,Regular,No,Jaipur
157,Female,46-60,Regular,Yes,Kochi
158,Male,36-45,Regular,No,Pune
159,Female,36-45,Regular,Yes,Ahmedabad
160,Female,36-45,Premium,Yes,Delhi
161,Male,46-60,Regular,Yes,Bhubaneswar
162,Male,18-25,Budget,Yes,Hyderabad
163,Male,46-60,Budget,No,Delhi
164,Male,26-35,Budget,Yes,Surat
165,Male,26-35,Budget,Yes,Jaipur
166,Male,36-45,Premium,No,Lucknow
167,Male,26-35,Budget,No,Chandigarh
168,Female,18-25,Budget,No,Delhi
169,Female,36-45,Business,Yes,Chandigarh
170,Male,26-35,Regular,No,Nagpur
171,Female,26-35,Regular,Yes,Nagpur
172,Male,18-25,Budget,Yes,Kochi
173,Male,18-25,Business,No,Lucknow
174,Female,36-45,Regular,Yes,Nagpur
175,Female,26-35,Budget,Yes,Delhi
176,Female,46-60,Budget,Yes,Lucknow
177,Female,26-35,Business,No,Nagpur
178,Male,36-45,Premium,No,Pune
179,Male,26-35,Business,No,Lucknow
180,Female,26-35,Budget,No,Indore
181,Male,46-60,Budget,Yes,Bengaluru
182,Male,26-35,Regular,No,Chennai
183,Male,26-35,Business,Yes,Nagpur
184,Male,26-35,Regular,No,Lucknow
185,Female,46-60,Budget,Yes,Nagpur
186,Female,18-25,Business,Yes,Ahmedabad
187,Female,36-45,Budget,Yes,Hyderabad
188,Male,26-35,Budget,Yes,Indore
189,Female,36-45,Premium,Yes,Kochi
190,Female,18-25,Budget,Yes,Pune
191,Male,46-60,Budget,Yes,Hyderabad
192,Male,36-45,Budget,No,Ahmedabad
193,Female,46-60,Budget,No,Mumbai
194,Male,26-35,Regular,No,Jaipur
195,Female,36-45,Budget,No,Bhubaneswar
196,Male,26-35,Regular,No,Ahmedabad
197,Male,26-35,Regular,No,Jaipur
198,Female,26-35,Business,Yes,Ahmedabad
199,Female,26-35,Business,Yes,Chandigarh
200,Male,26-35,Premium,Yes,Chennai
201,Male,26-35,Business,No,Indore
202,Male,18-25,Regular,No,Chandigarh
203,Male,26-35,Business,No,Indore
204,Male,46-60,Regular,Yes,Pune
205,Male,36-45,Budget,No,Mumbai
206,Female,18-25,Budget,No,Mumbai
207,Male,26-35,Regular,No,Kochi
208,Female,36-45,Budget,Yes,Ahmedabad
209,Male,18-25,Premium,Yes,Chandigarh
210,Female,26-35,Budget,Yes,Kochi
211,Male,18-25,Budget,Yes,Bengaluru
212,Female,26-35,Budget,No,Bhubaneswar
213,Male,36-45,Regular,No,Delhi
214,Male,26-35,Regular,Yes,Jaipur
215,Male,18-25,Budget,No,Lucknow
216,Male,46-60,Budget,Yes,Bengaluru
217,Female,46-60,Regular,No,Chandigarh
218,Male,36-45,Budget,No,Delhi
219,Male,60+,Regular,No,Indore
220,Male,36-45,Regular,No,Kochi
221,Male,36-45,Regular,Yes,Pune
222,Male,18-25,Regular,Yes,Surat
223,Male,36-45,Budget,No,Surat
224,Male,26-35,Budget,No,Indore
